,name,sam_update,rae_update,tie_grad_coeff_sam,seed_everything,enc_var,val_scale_inv,min_val_scale_inv,val_scale_inv4min_val_loss,val_loss,min_val_loss,val_kl,val_recon_loss,val_recon_loss_sam,val_recon_loss_no_sam,val_grad_loss,latent_dim
21,dashing-sweep-19,True,False,False,5748,0.01,8.109393775780776e-08,8.109393775780776e-08,8.109393775780776e-08,0.24517878890037537,0.24517878890037537,0.18639610707759857,0.05348702892661095,0.05878265947103501,0.05309826135635376,-1.0,256
22,gallant-sweep-18,True,False,False,982,0.01,1.0426377316623743e-07,1.0426377316623743e-07,1.0426377316623743e-07,0.25387513637542725,0.25387513637542725,0.1862492859363556,0.06422480940818787,0.06762578338384628,0.06381314992904663,-1.0,256
23,vague-sweep-15,False,False,False,23567,0.01,4.130240100150062e-07,3.9497793455768594e-07,4.130240100150062e-07,0.2265121638774872,0.22651216387748718,0.1864110678434372,0.0401010699570179,0.07277297228574753,0.038032542914152145,-1.0,256
24,whole-sweep-14,False,False,False,5748,0.01,5.806906705801347e-07,3.6488576566944907e-07,5.806906705801347e-07,0.2272382527589798,0.2272382527589798,0.18559058010578156,0.04164770990610123,0.0773014947772026,0.03973262012004852,-1.0,256
25,major-sweep-13,False,False,False,982,0.01,5.332994510415439e-07,4.898985971141298e-07,5.332994510415439e-07,0.22589711844921112,0.22589711844921112,0.18554385006427765,0.04035329446196556,0.07645036280155182,0.0383947417140007,-1.0,256
26,rich-sweep-11,False,False,False,42,0.01,6.270978382369772e-07,5.453701618167807e-07,6.270978382369772e-07,0.22541479766368863,0.22541479766368866,0.18535427749156952,0.040060512721538544,0.07542672753334045,0.03794882073998451,-1.0,256
27,treasured-sweep-12,False,False,False,64,0.01,5.33867378667794e-07,4.237815617939733e-07,5.33867378667794e-07,0.22569811344146729,0.22569811344146729,0.184912770986557,0.04078533500432968,0.07286809384822845,0.03889511525630951,-1.0,256
28,peach-sweep-10,True,False,False,23567,1.0,8.148786243382039e-07,8.148786243382039e-07,8.148786243382039e-07,0.07243644446134567,0.07243644446134567,0.002627415582537651,0.0686631128191948,0.06980901211500168,0.0678652822971344,-1.0,256
29,stellar-sweep-9,True,False,False,5748,1.0,2.136284539214774e-06,1.4464435298501647e-06,2.136284539214774e-06,0.06706036627292633,0.06706036627292633,0.0028682402335107327,0.07016303390264511,0.06419211626052856,0.07742844521999359,-1.0,256
30,generous-sweep-8,True,False,False,982,1.0,1.3706397486726425e-06,1.3444118471252483e-06,1.3706397486726425e-06,0.0708080604672432,0.0708080604672432,0.002903146669268608,0.07031909376382828,0.06790491193532944,0.06362535059452057,-1.0,256
31,legendary-sweep-7,True,False,False,64,1.0,6.859146903892548e-07,6.85120736258148e-07,6.859146903892548e-07,0.07205653935670853,0.07205653935670853,0.0024172980338335037,0.06985163688659668,0.06963926553726196,0.06859580427408218,-1.0,256
32,hopeful-sweep-6,True,False,False,42,1.0,1.6456984117776053e-06,1.481935667320262e-06,1.5724752362177213e-06,0.07468311488628387,0.07398001849651337,0.002791137434542179,0.070229172706604,0.07189197838306427,0.06683717668056488,-1.0,256
33,floral-sweep-4,False,False,False,5748,1.0,7.479691702067424e-07,7.479691702067424e-07,7.479691702067424e-07,0.06157281622290611,0.06157281622290611,0.005214986857026815,0.056357819586992264,0.07639933377504349,0.060604508966207504,-1.0,256
34,fiery-sweep-5,False,False,False,23567,1.0,9.208305569332843e-07,9.208305569332843e-07,9.208305569332843e-07,0.06076357886195183,0.06076357886195183,0.004893955774605274,0.05586961656808853,0.07483159005641937,0.05916862189769745,-1.0,256
35,smooth-sweep-3,False,False,False,982,1.0,9.296661104164439e-07,9.296661104164439e-07,9.296661104164439e-07,0.07017394155263901,0.07017394155263901,0.00444169482216239,0.06573224067687988,0.07013143599033356,0.0649406760931015,-1.0,256
